code,name,network_id,network_region,description,npi_id,latitude,longitude,units
BROKENH,Broken Hill,NEM,NSW1,"<p>The Broken Hill Solar Plant, which became operational in December 2015, is a 53 megawatt farm located near Broken Hill in western New South Wales, Australia. It is associated with the Nyngan Solar Plant (almost 600 km to the east), making the total capacity of the combined plants 155 megawatts.<br/>The Broken Hill solar plant, like other generation near the edge of the grid, has suffered from changes in loss factor calculations, with a decrease of 22.7% from a 2017-18 financial year (FY) Marginal Loss Factor (MLF) of 1.2841 to 1.0603 (2018-19 FY MLF), which has affected revenue. On 12 September 2019, the output of the farm was reduced by 50%.</p>",,-31.988905,141.391547,"[{'code': 'BROKENH1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 53.0, 'capacity_maximum': 53.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2015-09-15T10:55:00+10:00', 'data_last_seen': '2025-12-03T19:05:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:39+00:00', 'updated_at': '2025-05-08T05:01:18+00:00'}]"
BNGSF1,Bungala One,NEM,SA1,"<p>The Bungala Solar Farm is located near Port Augusta, in South Australia. The Project was developed by Reach Solar Energy, and acquired by Enel Green Power in 2017.</p><p>The Plants, with a total capacity of 275 MW from approximately 800,000 photovoltaic (PV) modules, commenced full production in 2020.</p>",,-32.423316,137.841798,"[{'code': 'BNGSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 135.0, 'capacity_maximum': 110.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-05-14T17:50:00+10:00', 'data_last_seen': '2025-12-03T19:50:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:38+00:00', 'updated_at': '2025-05-06T06:31:37+00:00'}]"
BNGSF2,Bungala Two,NEM,SA1,<p></p>,,-32.406993,137.840933,"[{'code': 'BNGSF2', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 135.0, 'capacity_maximum': 110.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-10-30T09:15:00+10:00', 'data_last_seen': '2025-12-03T18:45:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:38+00:00', 'updated_at': '2025-05-06T06:32:05+00:00'}]"
CESF,Capital East,NEM,NSW1,<p>Capital East Solar Farm 1 and 2 are co-located on the same site and adjacent to Capital Wind Farm. Construction was completed on the 120kW Capital East Solar Farm 1 in 2013. This was expanded in 2018 to 500kW with the addition of Capital East Solar 2 by 5B whom now provide the operations and maintenance services for both solar farms.</p>,,-35.180684,149.546482,"[{'code': 'CESF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 0.2, 'capacity_maximum': 1.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': None, 'data_last_seen': None, 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:41+00:00', 'updated_at': '2025-09-09T01:24:10+00:00'}]"
CHILDSF,Childers,NEM,QLD1,"<p>Atmos Renewables acquired 100% of the interests in Childers Solar Farm Solar Farm in June 2022. The plant is located approximately 75km south of Bundaberg, QLD. Commercial operations were reached in June 2019 and is connected to the 66kV Ergon network at the onsite Childers substation. The Childers Solar Farm is expected to generate over 120GWh of electricity per annum.</p>",,-25.295027,152.403674,"[{'code': 'CHILDSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 64.38, 'capacity_maximum': 56.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2019-02-06T16:10:00+10:00', 'data_last_seen': '2025-12-03T18:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:43+00:00', 'updated_at': '2024-12-18T00:44:28+00:00'}]"
CBWWBA,Christies Beach,NEM,SA1,<p>Christies Beach wastewater treatment plant began operating in 1970 and was expanded in 1981 to support the growing southern suburbs population. It also received a significant upgrade in 2013 to ensure it can meet community needs until 2030.</p>,,-35.125958,138.47135,"[{'code': 'CBWWPV1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 2.75, 'capacity_maximum': 2.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': None, 'data_last_seen': None, 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:41+00:00', 'updated_at': '2025-06-26T02:51:38+00:00'}, {'code': 'CBWWPV2', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 1.08, 'capacity_maximum': 0.81, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': None, 'data_last_seen': None, 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2024-10-04T05:29:40+00:00', 'updated_at': '2025-06-26T02:52:31+00:00'}]"
CLARESF,Clare,NEM,QLD1,<p></p>,,-19.83977,147.21055,"[{'code': 'CLARESF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 110.26, 'capacity_maximum': 100.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-04-17T09:15:00+10:00', 'data_last_seen': '2025-12-03T18:25:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:43+00:00', 'updated_at': '2025-09-09T01:20:26+00:00'}]"
CLERMSF,Clermont,NEM,QLD1,"<p>Located in Clermont, 106km north of Emerald, Queensland, the 89MWp DC Clermont Solar Farm is the third solar plant in Gentari Solar Australia’s portfolio based in QLD. It created just under 600 jobs in various capacities during construction and continues to employ those within the local community for the operations and maintenance of the asset.</p>",,-22.839406,147.546031,"[{'code': 'CLERMSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 92.0, 'capacity_maximum': 75.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2019-06-19T09:55:00+10:00', 'data_last_seen': '2025-12-03T18:40:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:43+00:00', 'updated_at': '2025-05-08T03:17:11+00:00'}]"
COHUNSF1,Cohuna,NEM,VIC1,"<p>Cohuna Solar Farm is situated approximately 8 kilometres south of the town of Cohuna and around 25km east of Kerang in the Shire of Gannawarra in northern Victoria. Cohuna was one of 6 solar projects to score a guernsey in Victoria’s first renewable energy auction. Cohuna Solar Farm is expected to generate up to 77 GWh of electricity each year, avoiding around 71,000 tonnes of CO2 emissions annually. The project will involve the installation of approximately 87,000 bifacial solar panels, which make use of light hitting both the front and rear of the module</p>",,-35.880317,144.221531,"[{'code': 'COHUNSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 31.1, 'capacity_maximum': 27.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2021-03-05T16:30:00+10:00', 'data_last_seen': '2025-12-03T19:10:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:44+00:00', 'updated_at': '2025-05-08T05:53:53+00:00'}]"
COLEASF,Coleambally,NEM,NSW1,"<p>Colleambally Solar Farm is a photovoltaic power station near the town of Coleambally in New South Wales, Australia. It is on the western side of the Kidman Way north of the town.<br/>It has an output of 150MW and was the largest solar power station in Australia  when it was commissioned in November 2018. It is owned by Neoen and was built by Bouygues. It has a 12-year power purchase agreement to sell its output to EnergyAustralia.The power station consists of a total of 565,488 solar panels arranged into 19,086 strings of panels. Each solar tracker drives three strings.</p>",,-34.759494,145.92984,"[{'code': 'COLEASF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 180.0, 'capacity_maximum': 150.0, 'capacity_storage': None, 'emissions_factor_co2': None, 'data_first_seen': '2018-09-07T10:40:00+10:00', 'data_last_seen': '2025-12-03T19:15:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': None, 'commencement_date_specificity': None, 'commencement_date_display': None, 'closure_date': None, 'closure_date_specificity': None, 'closure_date_display': None, 'expected_operation_date': None, 'expected_operation_date_specificity': None, 'expected_operation_date_display': None, 'expected_closure_date': None, 'expected_closure_date_specificity': None, 'expected_closure_date_display': None, 'construction_start_date': None, 'construction_start_date_specificity': None, 'construction_start_date_display': None, 'project_approval_date': None, 'project_approval_date_specificity': None, 'project_approval_date_display': None, 'project_lodgement_date': None, 'created_at': '2023-10-18T04:34:44+00:00', 'updated_at': '2025-05-06T05:04:46+00:00'}]"
