code,name,network_id,network_region,description,npi_id,location,units,created_at,updated_at
BODWF,Bodangora,NEM,NSW1,"<p>Bodangora Wind Farm is a wind farm owned by Infigen Energy in the district of Bodangora near Wellington, New South Wales, Australia. It has 33 wind turbines with a total generating capacity of 113.2 MW. The towers are 85 metres tall, and the rotor diameter is 130 metres. The wind turbine blades were manufactured in Bergama, Turkey. The development of the project began in 2009. It received planning approval in August 2013. The wind farm was completed on 27 February 2019.Bodangora Wind Farm has a power purchase agreement to sell 60% of the electricity generated to EnergyAustralia until the end of 2030.</p>",,lat=-32.407128 lng=149.04133,"[FacilityUnit(code='BODWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=113.19, capacity_maximum=111.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2018, 8, 8, 11, 40, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 38, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 9, 9, 1, 16, 56, tzinfo=TzInfo(0)))]",2023-10-18 04:34:38+00:00,2025-07-08 04:48:11+00:00
BULGANA,Bulgana Green Power Hub,NEM,VIC1,"<p>Bulgana Green Power Hub is a wind farm north of Stawell in the Australian state of Victoria. The project is owned by Neoen. Construction of the 56 wind turbines, with a total generation capacity of 194MW, was completed in August 2019, and connections to the national grid reached full capacity in 2021. 90% of the energy is contracted for supply to the Government of Victoria.</p>",,lat=-37.039507 lng=142.982799,"[FacilityUnit(code='BULGANA1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=204.0, capacity_maximum=204.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2020, 5, 14, 11, 15, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 39, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 4, 21, 1, 2, 55, tzinfo=TzInfo(0)))]",2023-10-18 04:34:39+00:00,2025-07-08 04:01:46+00:00
CANUNDA1,Canunda,NEM,SA1,"<p>Canunda Wind Farm (formerly named Lake Bonney Central Wind Farm) is a $92.5 million, 46 MW wind power project located on grazing land approximately 16 kilometres south of Millicent, and 6 kilometres west of Tantanoola in South Australia. It is jointly owned by GDF Suez Energy AustraliaEn 72%) and Mitsui (28%).<br/>The wind farm is made up of 23 Vestas 2.0 MW wind turbines, together with an underground electrical cable network, access tracks, crane hardstandings, wind monitoring masts and a 33 kV double-circuit distribution line. Each turbine consists of a 67-metre-high (220 ft) tower and 40-metre-long (130 ft) blades, and so are 107 metres in height to the tip of the blade. These wind turbines rotate at speeds between 9 rpm and 19 rpm, depending on the wind speed. The wind yield in South Australia enables Canunda to produce electricity at a 34 per cent capacity factor, a high yield by global standards.The wind farm generates enough electricity to supply around 30,000 average South Australian homes. The Canunda Wind Farm distribution line is 16 km long and transports the generated electricity from the wind farm to a nearby substation at Snuggery. The distribution line traverses mostly roadside verges, avoiding areas of environmental sensitivity along the route. The Canunda Wind Farm provides a number of benefits to the local and wider community, including clean electricity generation, enhanced agricultural viability of the farms involved and increased diversity of electricity supply for South Australia and the south east in particular. There has also been widespread community interest in the project and site tours have commenced.The Canunda Wind Farm was opened by the Premier of South Australia, Mike Rann, on 31 March 2005. The project was completed on time and on budget and Wind Prospect provided engineering support to the owners of the wind farm, International Power, during the construction phase. Canunda Wind Farm was International Power&#x27;s first wind farm globally. It represents a diversification of the company&#x27;s energy business in Australia.</p>",,lat=-37.698303 lng=140.383633,"[FacilityUnit(code='CNUNDAWF', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=46.0, capacity_maximum=46.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2009, 7, 1, 0, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 41, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 5, 29, 16, tzinfo=TzInfo(0)))]",2023-10-18 04:34:41+00:00,2025-08-04 07:01:25+00:00
CAPTL_WF,Capital,NEM,NSW1,"<p>The Capital Wind Farm near Bungendore is the largest wind farm in New South Wales.  It is part of the 6,000-hectare (15,000-acre) Capital Renewable Energy Precinct, along with nearby Woodlawn Wind Farm and the Capital East Solar Demonstration Plant.<br/>Capital Wind Farm was built by international contractors Suzlon Energy for owner and operator Infigen Energy.  Construction began in early 2008, and the wind farm became fully operational in October 2009. It is a 140.7 megawatt wind farm with 67 turbines.</p>",,lat=-35.123534 lng=149.500249,"[FacilityUnit(code='CAPTL_WF', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=140.0, capacity_maximum=140.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2009, 7, 4, 17, 10, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 41, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 6, 6, 29, 47, tzinfo=TzInfo(0)))]",2023-10-18 04:34:41+00:00,2025-07-08 04:24:46+00:00
CATHROCK,Cathedral Rocks,NEM,SA1,"<p>Cathedral Rocks Wind Farm is a wind power station located about 30 km west of Port Lincoln in South Australia, near the southern tip of the Eyre Peninsula. It has 33 wind turbines of 2 MW each, with a combined generating capacity of 66 MW of electricity. The site covers an area of about 29 km², with a coastal exposure of nearly 11 km and is private farming land. The wind farm was commissioned in September 2005.Before the wind farm was built, extensive environmental and cultural studies were conducted. Surveys undertaken included the assessment of potential impacts to Aboriginal and European cultural heritage, flora, visual amenity, noise levels, birds and other animals. Construction of the wind farm was undertaken with consideration for the environment.Construction started in 2004, and the first turbines were commissioned in late 2005. The wind farm was fully operational by 2007. It is operated by a joint venture between EnergyAustralia and Acciona Energy.</p>",,lat=-34.848741 lng=135.592649,"[FacilityUnit(code='CATHROCK', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=66.0, capacity_maximum=66.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2009, 7, 1, 0, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 41, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 4, 7, 20, tzinfo=TzInfo(0)))]",2023-10-18 04:34:41+00:00,2025-07-08 05:44:50+00:00
CTHLWF,Cattle Hill,NEM,TAS1,"<p>Cattle Hill Wind Farm is a wind farm project being developed and constructed by Goldwind Australia, in Tasmania.  <br/>The facility began construction in 2018 and has 48 wind turbines at a site just east of Lake Echo in the Tasmanian Central Highlands.</p>",,lat=-42.154845 lng=146.694693,"[FacilityUnit(code='CTHLWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=148.0, capacity_maximum=144.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2020, 1, 7, 10, 35, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 47, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 6, 6, 13, 52, tzinfo=TzInfo(0)))]",2023-10-18 04:34:47+00:00,2025-07-08 04:17:55+00:00
CHALLWF,Challicum Hills,NEM,VIC1,"<p>Challicum Hills Wind Farm is a wind farm encompassed by 35 (1.5 MW) NEG NM 64 wind turbines,  with a total generating capacity of 52.5 MW of electricity. The wind farm is near Ararat in western  Victoria, Australia. The power station was commissioned in August 2003 and is in a long term Power Purchase Agreement (PPA) with Origin Energy.<br/>The wind farm is owned and operated by Pacific Hydro. Part of the profits flow into a community fund that supports local projects.</p>",,lat=-37.395466 lng=143.10459,"[FacilityUnit(code='CHALLHWF', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=52.5, capacity_maximum=52.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2009, 7, 1, 0, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 43, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 5, 2, 31, tzinfo=TzInfo(0)))]",2023-10-18 04:34:43+00:00,2025-07-08 06:06:40+00:00
CHPSTWF,Chepstowe,NEM,VIC1,"<p>The Chepstowe Wind Farm, located approximately 30 km west of Ballarat, is a three turbine wind farm of 6.15MW capacity. The project was completed in March 2015. The three Senvion turbines began supplying energy to the local grid in April 2015. All the energy produced is be purchased on a long term contract. In an average year, enough renewable energy will be produced to power over 3,400 households.</p>",,lat=-37.596503 lng=143.499582,"[FacilityUnit(code='CHPSTWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=6.15, capacity_maximum=6.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 43, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 6, 21, 58, tzinfo=TzInfo(0)))]",2023-10-18 04:34:43+00:00,2024-12-18 00:27:28+00:00
CHYTWF,Cherry Tree,NEM,VIC1,"<p>Cherry Tree Wind Farm is a small wind farm located approximately 15 km south-east of Seymour, Victoria. The 16 turbine, 57.6 MW farm was developed and constructed by Infigen Energy for John Laing Group. Construction started in January 2019 and was operational in June 2020. The wind farm is expected to generate 182 GWh on average annually, for a capacity factor of 36%.</p>",,lat=-37.1018 lng=145.2656,"[FacilityUnit(code='CHYTWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=57.6, capacity_maximum=57.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2020, 5, 1, 18, 40, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 43, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 4, 30, 13, tzinfo=TzInfo(0)))]",2023-10-18 04:34:43+00:00,2025-07-08 05:59:42+00:00
CLRKCWF,Clarke Creek,NEM,QLD1,"<p>Stage One of the Clarke Creek Wind Farm is located 150km north-west of Rockhampton and 150km south of Mackay on the land of the Barada Kabalbara Yetimarala (BKY) peoples. The 450MW wind farm will produce enough electricity to power around 330,000 Queensland homes and avoid 738,000 tonnes of carbon emissions each year.<br/></p>",,lat=-22.850446 lng=149.453252,"[FacilityUnit(code='CLRKCWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=345.5, capacity_maximum=338.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2024, 10, 2, 2, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2024, 10, 3, 2, 18, 36, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 9, 9, 0, 19, 11, tzinfo=TzInfo(0))), FacilityUnit(code='CLRKCWF2', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=103.5, capacity_maximum=101.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2025, 4, 30, 14, 40, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2024, 10, 3, 2, 21, 50, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 9, 9, 0, 19, 31, tzinfo=TzInfo(0)))]",2024-10-03 02:22:10+00:00,2024-10-31 22:35:54+00:00
CLEMGPWF,Clements Gap,NEM,SA1,"<p>Clements Gap Wind Farm is a wind farm opened in 2010 located in the Barunga Range, South Australia near Clements Gap, some 20 minutes south of Port Pirie. The wind farm consists of 27 wind turbines with a total generating capacity of 57 MW. It provides enough electricity for up to 33,000 homes and is estimated to avoid the emission of 150,000 tonnes of greenhouse gases each year.  The Clements Gap site was chosen because of its powerful winds, easy construction access, simple grid connection, and strong community support.</p>",,lat=-33.489773 lng=138.111695,"[FacilityUnit(code='CLEMGPWF', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=57.0, capacity_maximum=57.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2009, 5, 7, 15, 35, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 43, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 16, 23, 48, 47, tzinfo=TzInfo(0)))]",2023-10-18 04:34:43+00:00,2025-08-13 23:01:52+00:00
CODRGTON,Codrington,NEM,VIC1,"<p>Codrington Wind Farm is a wind farm near Yambuk on the coast of south-western Victoria, Australia.<br/>Completed in June 2001, the 18.2MW installation of 14 wind turbines generates 51 GWh annually, for a capital cost of A$30 million by<br/>Pacific Hydro being the first fully private investment in a wind farm in Australia. When opened it was Australia&#x27;s largest wind farm and the first in Victoria.<br/>The Yambuk wind farm (Part of the Portland Wind Farm project) is directly adjacent to the Codrington Wind Farm. It has a total of 30MW in its 20 turbines.</p>",,lat=-38.282875 lng=141.95496,"[FacilityUnit(code='CODRNGTON', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=18.2, capacity_maximum=18.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 44, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 18, 2, 0, 15, tzinfo=TzInfo(0)))]",2023-10-18 04:34:44+00:00,2025-08-05 06:43:10+00:00
COLWF01,Collector,NEM,NSW1,"<p>Construction work on the 226.8MW project started in May 2019 and is expected to be finished in early 2021. The wind farm successfully exported its first safe, clean, renewable electricity in November 2020. The 54 turbines measure 150m to the blade tip and are located around 4km from Collector.</p>",,lat=-34.823879 lng=149.396795,"[FacilityUnit(code='COLWF01', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=226.0, capacity_maximum=219.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2020, 11, 12, 22, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 44, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 6, 2, 59, 53, tzinfo=TzInfo(0)))]",2023-10-18 04:34:44+00:00,2025-07-08 03:47:42+00:00
CBWF,Coonoer Bridge,NEM,VIC1,"<p>Coonooer Bridge Wind Farm is a wind farm 90 km northwest of Bendigo in the Australian state of Victoria. Its output is contracted to supply the Australian Capital Territory via the National Electricity Market at $81.50 per megawatt hour.The site is jointly owned by Eurus Energy, Windlab and the local community. It was the first commercial wind farm in Australia to have the local community included in the ownership in this way.</p>",,lat=-36.472722 lng=143.322039,"[FacilityUnit(code='CBWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=19.8, capacity_maximum=20.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 41, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 6, 16, 42, tzinfo=TzInfo(0)))]",2023-10-18 04:34:41+00:00,2025-08-05 06:38:56+00:00
COOPGWF,Coopers Gap,NEM,QLD1,"<p>Coopers Gap Wind Farm is a 453 megawatt wind power station in the Bilboa and Cooranga North region, of Australia, approximately 50 kilometres (31 mi) south-west of Kingaroy and 65 km (40 mi) north of Dalby in Queensland, Australia.<br/>A 60-metre (197 ft) wind-monitoring mast was installed in March 2006 in order to accurately measure wind speed and direction in the area.</p>",,lat=-26.717004 lng=151.449177,"[FacilityUnit(code='COOPGWF1', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=452.0, capacity_maximum=440.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2019, 6, 24, 11, 15, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 46, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 3, 21, 3, 4, 44, tzinfo=TzInfo(0)))]",2023-10-18 04:34:46+00:00,2025-07-08 02:24:09+00:00
CROOKWEL,Crookwell,NEM,NSW1,"<p>Crookwell Wind Farm, located at Crookwell west of Goulburn, New South Wales with a total capacity of 4.8 MW. It was the first grid-connected wind farm in Australia when built by Pacific Power in 1998. It is now owned by Tilt Renewables.<br/>The farm was the largest wind farm in Australia when built, with the energy produced bought and on-sold to customers by then energy retailer Great Southern Energy.</p>",,lat=-34.5165 lng=149.54248,"[FacilityUnit(code='CROOKWEL', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=4.8, capacity_maximum=None, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 46, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 10, 24, 4, 44, 20, tzinfo=TzInfo(0)))]",2023-10-18 04:34:46+00:00,2023-10-18 04:34:46+00:00
CROOKWF2,Crookwell 2,NEM,NSW1,"<p>In November, GPG (the international electricity generation subsidiary of Naturgy) opened its Crookwell II Wind Farm in New South Wales, inside the ATC (Australian Capital Territory) and only 90 kilometres from Canberra, the Australian capital. The facility has a power capacity of 96 MW, 28 wind turbines and it will be able to supply 42,000 homes in Canberra thanks to generating 300,000 megawatts/hour per year of renewable electricity.</p>",,lat=-34.547676 lng=149.589254,"[FacilityUnit(code='CROOKWF2', fueltech_id=<UnitFueltechType.WIND: 'wind'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=96.04, capacity_maximum=91.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2018, 8, 14, 8, 50, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2024, 9, 24, 9, 12, 5, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 6, 25, 21, 51, 51, tzinfo=TzInfo(0)))]",2023-10-18 04:34:46+00:00,2025-07-08 05:05:47+00:00
